transaction_id,customer_id,timestamp,amount,currency,payee_id,channel,status,merchant_location
T300001,U1001,2026-01-11T06:30:00,950,AUD,P2020,bp,posted,Perth
T300002,U1001,2026-01-21T02:53:00,9800,AUD,P2004,osko,posted,Perth
T300003,U1001,2026-01-21T10:05:00,-43.2,AUD,P2013,osko,reversed,Melbourne
T300004,U1001,2026-01-06T04:01:00,24000,AUD,P2005,bp,reversed,Sydney
T300005,U1001,2026-01-12T04:35:00,-5200,AUD,P2018,card_not_present,posted,Melbourne
T300006,U1001,2026-01-17T23:59:00,24000,AUD,P2005,osko,posted,Sydney
T300007,U1001,2026-01-07T09:32:00,12.5,AUD,P2008,bp,pending,Brisbane
T300008,U1001,2026-01-05T01:58:00,-1800,AUD,P2012,osko,reversed,Online
T300009,U1001,2026-01-17T16:01:00,43.2,AUD,P2015,card_not_present,posted,Sydney
T300010,U1001,2026-01-16T19:46:00,43.2,AUD,P2004,bp,posted,Brisbane
T300011,U1001,2026-01-04T17:03:00,-9800,AUD,P2008,card_not_present,pending,Melbourne
T300012,U1001,2026-01-18T00:48:00,-25,AUD,P2003,osko,pending,Online
T300013,U1001,2026-01-09T14:32:00,1800,AUD,P2018,osko,posted,Online
T300014,U1001,2026-01-15T04:26:00,120,AUD,P2004,osko,reversed,Brisbane
T300015,U1001,2026-01-14T02:13:00,25,AUD,P2010,card_present,posted,Brisbane
T300016,U1001,2026-01-05T14:14:00,43.2,AUD,P2004,osko,reversed,Sydney
T300017,U1001,2026-01-06T22:27:00,9800,AUD,P2017,osko,pending,Perth
T300018,U1001,2026-01-11T02:46:00,78.9,AUD,P2012,card_present,pending,Online
T300019,U1001,2026-01-01T12:21:00,-950,AUD,P2017,bp,pending,Online
T300020,U1001,2026-01-08T03:05:00,25,AUD,P2009,bank_transfer,posted,Sydney
T300021,U1001,2026-01-14T21:52:00,120,AUD,P2009,osko,posted,Online
T300022,U1001,2026-01-11T02:17:00,-1800,AUD,P2002,direct_debit,posted,Perth
T300023,U1001,2026-01-01T20:05:00,25,AUD,P2009,card_present,posted,Melbourne
T300024,U1001,2026-01-15T00:21:00,120,AUD,P2018,osko,pending,Online
T300025,U1001,2026-01-17T22:15:00,43.2,AUD,P2004,card_not_present,pending,Melbourne
T300026,U1002,2026-01-10T20:19:00,43.2,AUD,P2017,card_not_present,pending,Perth
T300027,U1002,2026-01-09T11:51:00,1800,AUD,P2001,bank_transfer,posted,Melbourne
T300028,U1002,2026-01-17T15:15:00,12.5,AUD,P2015,card_present,reversed,Perth
T300029,U1002,2026-01-17T09:44:00,-1800,AUD,P2007,card_not_present,pending,Sydney
T300030,U1002,2026-01-13T11:03:00,24000,AUD,P2005,card_present,posted,Brisbane
T300031,U1002,2026-01-02T02:42:00,499,AUD,P2013,bp,pending,Online
T300032,U1002,2026-01-02T14:11:00,78.9,AUD,P2006,bank_transfer,reversed,Melbourne
T300033,U1002,2026-01-11T17:20:00,120,AUD,P2008,card_present,pending,Sydney
T300034,U1002,2026-01-01T10:24:00,245,AUD,P2003,osko,pending,Online
T300035,U1002,2026-01-08T16:49:00,9800,AUD,P2001,card_present,pending,Melbourne
T300036,U1002,2026-01-19T01:25:00,-43.2,AUD,P2001,bank_transfer,pending,Sydney
T300037,U1002,2026-01-20T12:48:00,25,AUD,P2011,direct_debit,reversed,Sydney
T300038,U1002,2026-01-02T22:57:00,120,AUD,P2017,direct_debit,reversed,Online
T300039,U1002,2026-01-19T22:43:00,43.2,AUD,P2008,card_present,posted,Melbourne
T300040,U1002,2026-01-04T12:53:00,43.2,AUD,P2015,bp,posted,Melbourne
T300041,U1002,2026-01-16T08:00:00,9800,AUD,P2015,card_present,posted,Online
T300042,U1002,2026-01-09T02:54:00,-25,AUD,P2009,card_not_present,posted,Sydney
T300043,U1002,2026-01-16T12:04:00,-24000,AUD,P2016,direct_debit,pending,Melbourne
T300044,U1002,2026-01-03T19:09:00,5200,AUD,P2011,bank_transfer,pending,Online
T300045,U1002,2026-01-01T15:03:00,5200,AUD,P2016,bank_transfer,posted,Sydney
T300046,U1002,2026-01-10T22:33:00,-9800,AUD,P2010,osko,reversed,Perth
T300047,U1002,2026-01-10T02:59:00,25,AUD,P2016,card_present,pending,Perth
T300048,U1002,2026-01-09T12:13:00,-25,AUD,P2007,card_present,posted,Sydney
T300049,U1002,2026-01-12T04:38:00,24000,AUD,P2017,bank_transfer,posted,Brisbane
T300050,U1002,2026-01-16T12:01:00,-78.9,AUD,P2006,card_present,reversed,Perth
T300051,U1003,2026-01-05T13:22:00,499,AUD,P2013,bank_transfer,posted,Brisbane
T300052,U1003,2026-01-11T12:07:00,12.5,AUD,P2007,direct_debit,posted,Brisbane
T300053,U1003,2026-01-03T12:24:00,120,AUD,P2019,card_present,pending,Perth
T300054,U1003,2026-01-09T03:03:00,120,AUD,P2010,direct_debit,posted,Sydney
T300055,U1003,2026-01-17T10:12:00,-120,AUD,P2012,osko,posted,Perth
T300056,U1003,2026-01-03T01:59:00,1800,AUD,P2014,osko,posted,Brisbane
T300057,U1003,2026-01-18T04:10:00,950,AUD,P2016,osko,pending,Brisbane
T300058,U1003,2026-01-21T08:25:00,120,AUD,P2008,bank_transfer,reversed,Online
T300059,U1003,2026-01-04T05:41:00,-9800,AUD,P2006,card_present,posted,Online
T300060,U1003,2026-01-15T10:48:00,950,AUD,P2015,osko,posted,Online
T300061,U1003,2026-01-03T05:21:00,78.9,AUD,P2018,card_present,pending,Sydney
T300062,U1003,2026-01-19T06:56:00,245,AUD,P2001,direct_debit,reversed,Perth
T300063,U1003,2026-01-13T08:21:00,499,AUD,P2002,osko,pending,Online
T300064,U1003,2026-01-17T16:40:00,245,AUD,P2007,card_present,pending,Sydney
T300065,U1003,2026-01-21T14:27:00,-499,AUD,P2010,card_present,posted,Melbourne
T300066,U1003,2026-01-19T15:00:00,-499,AUD,P2003,osko,reversed,Perth
T300067,U1003,2026-01-08T04:09:00,78.9,AUD,P2017,direct_debit,posted,Perth
T300068,U1003,2026-01-01T04:14:00,25,AUD,P2019,card_present,pending,Sydney
T300069,U1003,2026-01-17T20:27:00,9800,AUD,P2004,card_present,posted,Brisbane
T300070,U1003,2026-01-13T08:14:00,1800,AUD,P2020,card_present,posted,Online
T300071,U1003,2026-01-09T10:41:00,-120,AUD,P2008,osko,posted,Online
T300072,U1003,2026-01-14T22:41:00,78.9,AUD,P2010,card_present,posted,Sydney
T300073,U1003,2026-01-03T08:14:00,-950,AUD,P2014,bank_transfer,posted,Perth
T300074,U1003,2026-01-14T11:43:00,12.5,AUD,P2013,card_not_present,posted,Brisbane
T300075,U1003,2026-01-07T15:12:00,24000,AUD,P2010,card_not_present,posted,Perth
T300076,U1004,2026-01-10T03:39:00,78.9,AUD,P2016,bp,posted,Sydney
T300077,U1004,2026-01-02T19:09:00,-950,AUD,P2013,card_present,posted,Melbourne
T300078,U1004,2026-01-14T01:45:00,5200,AUD,P2002,card_not_present,reversed,Perth
T300079,U1004,2026-01-04T02:59:00,24000,AUD,P2006,bank_transfer,posted,Sydney
T300080,U1004,2026-01-02T09:42:00,-9800,AUD,P2013,bank_transfer,pending,Perth
T300081,U1004,2026-01-01T02:17:00,43.2,AUD,P2003,bank_transfer,reversed,Melbourne
T300082,U1004,2026-01-13T11:49:00,1800,AUD,P2010,osko,posted,Melbourne
T300083,U1004,2026-01-07T11:34:00,-24000,AUD,P2015,card_not_present,pending,Brisbane
T300084,U1004,2026-01-01T20:26:00,-24000,AUD,P2008,direct_debit,reversed,Melbourne
T300085,U1004,2026-01-15T02:51:00,499,AUD,P2002,bank_transfer,posted,Melbourne
T300086,U1004,2026-01-12T08:21:00,5200,AUD,P2020,card_present,pending,Brisbane
T300087,U1004,2026-01-01T23:48:00,120,AUD,P2020,direct_debit,posted,Melbourne
T300088,U1004,2026-01-16T22:29:00,78.9,AUD,P2013,bank_transfer,reversed,Perth
T300089,U1004,2026-01-06T00:51:00,-43.2,AUD,P2010,direct_debit,posted,Online
T300090,U1004,2026-01-11T14:23:00,78.9,AUD,P2020,card_present,posted,Perth
T300091,U1004,2026-01-14T02:41:00,43.2,AUD,P2002,osko,pending,Sydney
T300092,U1004,2026-01-03T08:39:00,499,AUD,P2003,card_not_present,posted,Perth
T300093,U1004,2026-01-06T07:08:00,-950,AUD,P2014,osko,posted,Online
T300094,U1004,2026-01-10T09:17:00,9800,AUD,P2019,bank_transfer,pending,Brisbane
T300095,U1004,2026-01-07T14:15:00,24000,AUD,P2006,card_not_present,posted,Sydney
T300096,U1004,2026-01-11T02:25:00,120,AUD,P2009,card_not_present,posted,Melbourne
T300097,U1004,2026-01-02T03:00:00,-9800,AUD,P2016,card_not_present,reversed,Brisbane
T300098,U1004,2026-01-08T03:03:00,12.5,AUD,P2007,bp,posted,Melbourne
T300099,U1004,2026-01-15T19:16:00,245,AUD,P2001,card_present,pending,Sydney
T300100,U1004,2026-01-11T04:02:00,12.5,AUD,P2007,bank_transfer,posted,Online
T300101,U1005,2026-01-01T10:26:00,24000,AUD,P2012,card_not_present,pending,Melbourne
T300102,U1005,2026-01-16T17:30:00,78.9,AUD,P2003,osko,posted,Perth
T300103,U1005,2026-01-21T17:05:00,9800,AUD,P2006,osko,pending,Perth
T300104,U1005,2026-01-14T01:19:00,120,AUD,P2019,bank_transfer,reversed,Perth
T300105,U1005,2026-01-21T06:25:00,12.5,AUD,P2013,card_not_present,posted,Perth
T300106,U1005,2026-01-04T02:25:00,-43.2,AUD,P2019,bank_transfer,reversed,Sydney
T300107,U1005,2026-01-02T17:09:00,43.2,AUD,P2013,card_present,pending,Online
T300108,U1005,2026-01-12T09:10:00,43.2,AUD,P2017,card_not_present,posted,Melbourne
